espn_id,barttorvik_name,match_method
VCU,VCU,automatic
VILL,Villanova,automatic
VMI,VMI,automatic
VT,Virginia Tech,automatic
W&M,William & Mary,automatic
WAG,Wagner,automatic
WAKE,Wake Forest,automatic
WASH,Washington,automatic
WCU,Western Carolina,automatic
WEB,Weber St.,automatic
WGA,West Georgia,automatic
WICH,Wichita St.,automatic
WIN,Winthrop,automatic
WIS,Wisconsin,automatic
WIU,Western Illinois,automatic
WKU,Western Kentucky,automatic
WMU,Western Michigan,automatic
WOF,Wofford,automatic
WRST,Wright St.,automatic
WSU,Washington St.,automatic
WVU,West Virginia,automatic
WYO,Wyoming,automatic
YALE,Yale,automatic
YSU,Youngstown St.,automatic
